Date,RPmsoft,RPsandp,Dprod,Dinflation,Dterm,m1
1992m3,-4.477819443,-2.552367926,0.491400003,0.142376781,-0.019999981,0
1992m4,-7.559577942,2.407744169,0.444299996,-0.360307366,0.059999943,0
1992m5,8.98816967,-0.219482601,0.223199993,-0.000205547,0.430000067,0
1992m6,-55.04619598,-2.067795277,-0.0037,0.214004338,-0.25,0
1992m7,3.556699753,3.565169573,0.544399977,-0.143519416,-0.039999962,0
1992m8,2.10785532,-2.698184729,-0.317799985,0.070541605,-0.089999914,0
1992m9,7.481638908,0.642274737,0.136099994,-0.000805944,-0.060000181,0
1992m10,9.528290749,-0.017927751,0.495599985,0.069745362,0.220000029,0
1992m11,4.548222542,2.722958565,0.266499996,-0.212288097,0.220000029,0
1992m12,-8.971090317,0.724039197,0.0152,-0.211391687,-0.269999981,0
1993m1,1.045799613,0.432959706,0.316700011,0.562539697,-0.059999943,1
1993m2,-3.934754848,0.793737471,0.236900002,-0.142074525,-0.059999943,0
1993m3,10.14034462,1.600796819,-0.0243,-0.001220852,-0.529999971,0
1993m4,-8.116726875,-2.82203722,0.194600001,-0.070632696,0.21999979,0
1993m5,7.754705429,2.002159834,-0.227599993,-0.139371768,-0.109999895,0
1993m6,-5.378495216,-0.186171502,0.134299994,-0.000192374,-0.059999943,0
1993m7,-17.58383751,-0.790796518,0.198799998,-0.138600156,-0.220000029,0
1993m8,1.240507483,3.123579025,-0.026000001,0.276625335,0,0
1993m9,9.116146088,-1.258813381,0.306699991,-0.069657341,-0.360000134,0
1993m10,-3.174778223,1.673228979,0.479999989,0.205687329,0.00999999,0
1993m11,-0.413220942,-1.562807322,0.265799999,-0.344044685,0.140000105,0
1993m12,0.506178975,0.738225698,0.332399994,-0.068610638,0.109999895,0
1994m1,5.170693398,2.937549114,0.266400009,0.27397278,0.110000134,1
1994m2,-3.389706612,-3.313899279,0.0341,0.067441016,-0.079999924,0
1994m3,2.394078732,-4.979254246,0.684400022,-0.001161695,0.089999914,0
1994m4,8.45279026,0.848963857,0.3574,-0.204474762,0.420000076,0
1994m5,-54.63316727,0.885426998,0.371300012,-0.067957737,-0.150000095,0
